"","SpeciesSSet","Freq","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029"
"1","1",18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00292796315207178,-0.00292796315185395,-0.00292796315136301,-0.002927963150682,-0.00292796315003985,-0.00292796314963439,-0.00292796314947474,-0.00292796314941857,-0.00292796314937394,-0.00292796314941768,-0.00292796314969124,-0.0029279631502146,-0.00292796315082788,-0.00292796315133503,-0.00292796315163835,-0.00292796315177646,-0.00292796315181576
"10","2",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0146076041999204,-0.0144238509190329,-0.0140335648051106,-0.0134009224020835,-0.0124352627669935,-0.0110668980675521,-0.00937816240925859,-0.00759812558919504,-0.00593141367640193,-0.00441502057326737,-0.00297464705836847,-0.00159916502764834,-0.000404959878175237,0.000482324106923615,0.00106218039651984,0.00144182850690022,0.00170953305692878,0.00186197281211564,0.00184965476442422,0.00166594927840569,0.00139839829213462,0.00122118716768638,0.00132414102340772,0.00178984544190564,0.00250308321441373,0.00320085734703923,0.00364681577855497,0.00377246434171163,0.00366976289273402,0.00349040300617376,0.003368423771412,0.00338819085265962,0.00356089775981783,0.00382872183871807,0.00412911405649563,0.00445098382262388,0.00478496999574807,0.00502169989231915,0.00496403653970434,0.00447601739633763,0.0035833131300067,0.00240069087817441,0.00101287301576414,-0.000518319264494638,-0.00207684048630652,-0.00352392631920062,-0.00482321506867844,-0.00605593522060133,-0.00726643684539785,-0.00834072378085149,-0.00908848372416715,-0.00942804416348131
"100","3",10,1,NA,NA,NA,NA,NA,NA,NA,-0.0908615955514258,-0.053042513516993,4.29551389471428e-05,0.0309359375088385,0.0243836591905509,0.00215481071872059,-0.00543439717535454,0.00365933595989354,0.0060980297764015,-0.00829287159323977,-0.0186339043047408,-0.00469153075797024,0.0179537981557263,0.0160195042980318,-0.0112847179330728,-0.0243622998822266,0.00502297957143094,0.0531029406694334,0.072624848468124,0.0508815379371974,0.0181230737484159,0.00172736324439748,-0.0036687949203924,-0.0128175653863987,-0.0188209826504133,-0.005199660819597,0.0214495856632428,0.0340546255639653,0.022015219350219,0.00627648309784057,0.00868330170981491,0.0208883542755305,0.0183847765892837,-0.00217762419939671,-0.0175404714699323,-0.0111242380044212,0.00427580446467246,0.00647105326094222,-0.00376545371675618,-0.00479892855032915,0.0130049961970933,0.0309063188945764,0.0253251829817298,-0.00085843921406914,-0.0214060942870078,-0.0192451341600344,-0.00502704688555422,0.00066771911626784,-0.00518908908891369,-0.00777906144921436,0.00151405175982777,0.0127042346087292
"1000","4",53,1,NA,NA,NA,NA,NA,NA,NA,-0.015697380667052,-0.0159025346060906,-0.016137921756076,-0.0160056485287714,-0.0151517562898698,-0.0136225936661716,-0.0118539809847691,-0.0102527554885243,-0.00889373993708431,-0.00766582712819885,-0.00652681169856217,-0.00546140257698635,-0.0043238587701464,-0.00292836601160107,-0.00125450380433034,0.000583604294498663,0.00249891033857641,0.00437331495352167,0.00589027738746473,0.00665955804266671,0.00653246629669235,0.00560129907003137,0.00390260177490243,0.0014198135926089,-0.0015243141071688,-0.00420473879101402,-0.0060850914483821,-0.00727888882046579,-0.00816245551307992,-0.00871453745687778,-0.00860407565400689,-0.00786028708225528,-0.00704406478377528,-0.00666371738531168,-0.00673885767995008,-0.00704388001132372,-0.00743052857084314,-0.00768556744718984,-0.00736687104916056,-0.00611802405601858,-0.00401003948249157,-0.00130384813129947,0.00197286789410911,0.00589306928051236,0.0102037280516389,0.0144346213639517,0.0184007882010231,0.0221529181785916,0.0253701873711232,0.0273380293425407,0.0278390374854534,0.0276388304494413
"1001","5",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0135497195058512,-0.0135979831369828,-0.013668323805641,-0.0136552611659277,-0.0133724635830805,-0.0126139267513528,-0.0112282486200719,-0.00917271171401257,-0.00655760019352258,-0.00365763401631369,-0.000829161296213465,0.00163954364382413,0.0036076126983231,0.005028600541922,0.00588080374996691,0.00619114757392225,0.00607678719796434,0.00568170720158689,0.00507066669695733,0.0042407808871312,0.00323434841150383,0.00217365123272906,0.00116725282545183,0.000236372775505922,-0.000657206023271906,-0.00158768554978495,-0.00269788662678683,-0.00414493852727671,-0.00589526098414916,-0.00760549143843758,-0.00882226655320251,-0.0093237396946857,-0.00920674679082256,-0.00866565002818787,-0.0078131208119645,-0.00675413326164875,-0.00569291380528636,-0.00481857090276017,-0.00410045448599683,-0.00329293691932642,-0.00215839606644042,-0.000650118552650847,0.0010820268747016,0.00277571761826967,0.00415524234939402,0.00505697558083384,0.00551168902108112,0.00566037141195519,0.00558137076369181,0.00527774780919388,0.00485058466151989,0.00454765575604799
"1002","6",53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0114057855621077,0.0127482293265071,0.0136385046559442,0.0118453801280891,0.00682352124381103,-0.000125374929248467,-0.00755050096246035,-0.0150599509439964,-0.0226211092210618,-0.0291806765551461,-0.0329034602582718
"1003","7",53,1,NA,NA,NA,NA,NA,NA,NA,0.00221175740750912,0.002211310337493,0.0022205857006341,0.00225362830540154,0.00231497318363161,0.00238882638036486,0.00244337164418118,0.0024501052695256,0.00240120116222586,0.00230906582837553,0.00219227903410335,0.00206557237129745,0.00194173404127485,0.00183583107493845,0.00176102970933512,0.00171913817177494,0.00169651530059589,0.00166898844769436,0.0016110382922121,0.00150479777939561,0.00134672351375631,0.0011476741447396,0.000922926631181653,0.000678341168485641,0.000406075613121892,9.46072465266568e-05,-0.000258086926719692,-0.000641569273583276,-0.00104007572343345,-0.00144019667190953,-0.00183486099509711,-0.00222615399626847,-0.00262562217312512,-0.0030466212432132,-0.00349208136782231,-0.00395139841772663,-0.00441166678191074,-0.00486858939040236,-0.00532094125590499,-0.00575555171995301,-0.0061454430349146,-0.00646763522345895,-0.00672069710634737,-0.00692258145093083,-0.00709474113223552,-0.00725210022189327,-0.00740403882910101,-0.0075550225870904,-0.00769952708517119,-0.0078209186746081,-0.00790175484587863,-0.00793760317215231
"1004","8",53,1,NA,NA,NA,NA,NA,NA,NA,-0.0116821350829683,-0.011609430765305,-0.0113313334221989,-0.010649056231504,-0.00941623034429684,-0.00768031896971011,-0.00571606977721828,-0.0038829294785061,-0.00241320481388474,-0.00130004248388715,-0.000348151316048595,0.00067375957758542,0.00187785577288313,0.00318871703354673,0.00441124429414463,0.00537696013158739,0.0060134523100881,0.00626180930611886,0.00597947358739948,0.0050158474100761,0.00341581474303521,0.00149661374076904,-0.000328171041307668,-0.00179999360876271,-0.00290113013331372,-0.00376255579921492,-0.00454847047063978,-0.00538925884232277,-0.00632398411728508,-0.00726835659133784,-0.0080831711521836,-0.00870190296203099,-0.00915761969030005,-0.00946976733653782,-0.00956024895977281,-0.00932586864971174,-0.00874644782440681,-0.0078509408605163,-0.00660297935404941,-0.00491903698281737,-0.00283310977735307,-0.000571695079562229,0.0015932253651092,0.00352631096967748,0.00520851563243707,0.00657817829296214,0.00750115299718357,0.00793815556427546,0.00806774335495875,0.00815836273675363,0.00832270351988651,0.00846327756979304
"1005","9",53,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194180009196415,0.09649280587813,-0.015658971430818,-0.043299555526654,0.0180786222678353,0.0809441517583953,0.0726981874493593,0.0127967278679484,-0.0253738552634246,-0.00950399146352776,0.0217910059491322
"1006","10",53,1,NA,NA,NA,NA,NA,NA,NA,-0.00679927960305804,-0.0173631743310234,-0.0285409976836335,-0.0308944949740311,-0.0259727396627114,-0.0199081036960931,-0.0144981686892263,-0.00997168501295898,-0.00840556618179766,-0.00752224853684957,0.0010303347512437,0.0174565389018109,0.0243391402074331,0.00529757382439167,-0.0279121685505865,-0.0415893473992859,-0.0185767840842059,0.0201933274127235,0.0396850242631643,0.0281464964162486,0.00279199437051147,-0.014441295116169,-0.0158697587965881,-0.00632955645288336,0.00534989364038285,0.0109488638541198,0.00727757804772899,-0.000473344553781008,-0.00426767470814493,-0.00255901350875343,0.00174782748352298,0.0119406220297873,0.035579164727308,0.0672294615750006,0.0831973434896516,0.0641310692111254,0.0191810136175055,-0.021784356427192,-0.0385018782919007,-0.0342495234809679,-0.0211327008988587,-0.00381877816032583,0.0168631871685507,0.0334672888800434,0.0350327110843822,0.0191957832397187,-0.00467800438270904,-0.0240940157011331,-0.0318305609399552,-0.0278924243898491,-0.0181584512021664,-0.0108760889898782
