,ns,qwiki_id,title,wikipedia_id
0,0,Q3756645,Blue sucker,5037088
0,0,Q307074,Lost River sucker,12184346
0,0,Q276321,Longnose sucker,4211891
0,0,Q2942992,White sucker,43466294
0,0,Q2712841,Catostomus latipinnis,24944335
0,0,Q2217791,Largescale sucker,12541279
0,0,Q6424148,Tahoe sucker,49196239
0,0,Q2247010,Gray redhorse,12184648
0,0,Q287368,Golden redhorse,5038284
0,0,Q1609042,Shorthead redhorse,5039111
0,0,Q1939955,Harelip sucker,12184663
0,0,Q140999,Bigmouth buffalo,4855593
0,0,Q1578992,Chinese high-fin banded shark,12883418
0,0,Q1044803,River carpsucker,32264701
0,0,Q1943923,Razorback sucker,5166933
0,0,Q1149559,Cui-ui,399080
0,0,Q3764709,Spotted sucker,25726159
0,0,Q8776975,Lake chubsucker,32264840
0,0,Q3764682,Northern hogsucker,7410234
0,0,Q144534,Common bream,3839250
0,0,Q81110,Common carp,60908
0,0,Q1017180,Cyprinus pellegrini,25916052
0,0,Q133980,Giant salmon carp,12183217
0,0,Q581263,Abbottina rivularis,25906101
0,0,Q2467838,Acanthobrama microlepis,43090880
0,0,Q76280,Tench,1924025
0,0,Q11904060,Acapoeta,12183254
0,0,Q200473,Common bleak,2429636
0,0,Q301413,Italian bleak,12183412
0,0,Q326219,Common barbel,5744369
0,0,Q617967,Mediterranean barbel,12183728
0,0,Q3753013,Jordan himri,12183566
0,,,Barbus aeneus,
0,0,Q302487,Cape whitefish,12183518
0,0,Q305538,Barbus haasi,12183626
0,0,Q2652223,Spotscale barb,25880672
0,0,Q2213474,Labeobarbus johnstonii,12183658
0,0,Q658497,Broadband barb,25880846
0,0,Q2235702,Neumayer's barb,12183756
0,0,Q1944517,Jordan barbel,12183688
0,0,Q1082788,Italian barbel,12183802
0,0,Q135100,Ripon barbel,12183514
0,0,Q613810,Upper Zambezi yellowfish,4414551
0,0,Q1354253,Labeobarbus bynni,25878586
0,0,Q2247417,Algerian barb,12183556
0,0,Q2213474,Labeobarbus johnstonii,12183658
0,0,Q138737,Line-spotted barb,12183680
0,0,Q2513577,Slender barb,25881064
0,0,Q1522428,Straightfin barb,12183784
0,0,Q2379631,Enteromius perince,25879615
0,0,Q1522413,Papermouth,25880854
0,,,Barbus marequensis,
0,0,Q1188928,Threespot barb,25881062
0,0,Q1944595,Labeobarbus tropidolepis,12183869
0,0,Q307917,Barbus cyclolepis,12183593
0,0,Q654583,Common nase,5128832
0,0,Q861043,South-west European nase,12184015
0,0,Q263911,Iberian nase,12184004
0,0,Q373568,Chondrostoma soetta,12184009
0,0,Q1061956,South European nase,12183976
0,0,Q8191638,Longfin dace,25928744
0,0,Q194031,Crucian carp,33415172
0,0,Q123141,Goldfish,18625077
0,0,Q1090973,Japanese white crucian carp,25826607
0,0,Q725983,Prussian carp,22600663
0,0,Q237619,Gobio gobio,32290829
0,0,Q304920,White-finned gudgeon,12184432
0,0,Q182976,Common roach,2422458
0,0,Q606456,Rutilus frisii,12185173
0,0,Q1191082,Sarmarutilus rubilio,43972997
0,0,Q21030115,Squalius alburnoides,12185291
0,0,Q902866,Iberochondrostoma lemmingii,12185180
0,0,Q1189550,Caspian roach,40838302
0,0,Q200594,Common rudd,1355765
0,0,Q144497,Ide (fish),192210
0,0,Q5520692,Squalius cii,56231469
0,0,Q143326,Common dace,938267
0,0,Q577641,Dnieper chub,12184868
0,0,Q5520692,Squalius cii,56231469
0,0,Q691542,Telestes polylepis,12185543
0,0,Q2703191,Squalius pyrenaicus,12185495
0,0,Q973273,Souffia,12185545
0,0,Q1101845,Schmidt's dace,25828068
0,0,Q3728190,Issyk-Kul dace,25828044
0,0,Q1101543,Siberian dace,25828042
0,0,Q1402074,European bitterling,11447231
0,0,Q703072,Rosy bitterling,10902497
0,0,Q855808,Amur bitterling,469084
0,,,Tribolodon taczanowskii,
0,0,Q1072518,Big-scaled redfin,56659120
0,0,Q1954679,Pacific redfin,56659084
0,0,Q3753064,Labeo angra,25677434
0,0,Q3766181,Bangana ariza,25701287
0,0,Q2143924,Labeo bata,25701416
0,0,Q2802770,Labeo boga,25701447
0,0,Q141880,Orangefin labeo,25676417
0,,,Labeo dero,
0,0,Q2072940,Labeo dussumieri,25701612
0,0,Q138594,Fringed-lipped peninsula carp,25701633
0,0,Q142679,Kuria labeo,20332270
0,0,Q2465849,Pigmouth carp,25701770
0,0,Q2196901,Labeo microphthalmus,25701820
0,0,Q1890124,Labeo nandina,25701847
0,0,Q142643,Labeo pangusia,25701885
0,0,Q311727,Rohu,1969906
0,,,Labeo sindensis,
0,0,Q80198,Rednose labeo,25701237
0,0,Q142653,Labeo coubie,25701553
0,0,Q2909755,Redeye labeo,25702063
0,,,Labeo darlingi,
