,ns,qwiki_id,title,wikipedia_id
0,,,Barbus aeneus,
0,,,Barbus marequensis,
0,,,Tribolodon taczanowskii,
0,,,Labeo dero,
0,,,Labeo sindensis,
0,,,Labeo darlingi,
0,,,Chela laubuca,
0,,,Cyclocheilichthys dumerilii,
0,,,Osteochilus hasselti,
0,,,Rasbora elanga,
0,,,Tor soro,
0,,,Moroco steindachneri,
0,,,Leptobarbus hoeveni,
0,,,Carassioides cantonensis,
0,,,Eupallasella perenurus,
0,,,Gymnocypris biswasi,
0,,,Hemigrammocypris lini,
0,,,Lagowskiella czekanowskii,
0,,,Leucalburnus kosswigi,
0,,,Neobola moeruensis,
0,,,Parapsilorhynchus tentaculatus,
0,,,Parazacco vuquangensis,
0,,,Parluciosoma labiosa,
0,,,Platygobio gracilis,
0,,,Procypris merus,
0,,,Prolabeops melanhypoptera,
0,,,Pseudoperilampus hondae,
0,,,Rasborinus lineatus,
0,,,Sinilabeo decorus,
0,,,Squalidus biwae,
0,,,Systomus brevis,
0,,,Xenocypris argentea,
0,,,Varicorhinus beso,
0,0,Q431584,Gold-Steinbeißer,8460346
0,,,Somileptes gongota,
0,,,Lepidocephalus annandalei,
0,,,Iksookimia choii,
0,,,Enobarbichthys maculatus,
0,,,Annamia normani,
0,,,Bhavania australis,
0,,,Crossostoma lacustre,
0,,,Ellopostoma megalomycter,
0,,,Glaniopsis denudata,
0,,,Hemimyzon formosanum,
0,,,Hypergastromyzon eubranchus,
0,,,Lefua echigonia,
0,,,Neogastromyzon nieuwenhuisii,
0,,,Orthrias panthera,
0,,,Physoschistura brunneanus,
0,,,Protomyzon aphelocheilus,
0,,,Sectoria atriceps,
0,,,Sewellia lineolata,
0,,,Travancoria jonesi,
0,,,Tuberoschistura cambodgiensis,
0,,,Vaillantella cinnamomea,
0,,,Asprotilapia leptura,
0,,,Chromidotilapia batesii,
0,0,Q3576,Chanchito,3891570
0,,,Cichlasoma maculicauda,
0,0,Q3546,Zebrabuntbarsch,493309
0,,,Enantiopus albini,
0,,,Heros appendiculatus,
0,,,Maravichromis formosus,
0,,,Microdontochromis rotundiventralis,
0,,,Nanochromis consortus,
0,,,Retroculus lapidifera,
0,,,Aequidens portalegrensis,
0,,,Aequidens pulchrus,
0,,,Pseudotropheus aurora,
0,0,Q138547,Maylandia callainos,7096350
0,,,Symphysodon aequifasciata,
0,0,Q420649,Haplochromis eduardianus,10130422
0,,,Crenicara filamentosa,
0,,,Telotrematocara macrostoma,
0,,,Cynothrissa ansorgii,
0,,,Cynothrissa mento,
0,,,Poecilothrissa moeruensis,
0,,,Cromeria nilotica,
0,,,Hippopotamyrus discorhynchus,
0,,,Mormyrus rume,
0,0,Q5520533,Petrocephalus catostoma,8326946
0,,,Pollimyrus isidori,
0,,,Stomatorhinus ater,
0,,,Astyanax bimaculatus,
0,,,Brycon cephalus,
0,,,Brycon erythropterum,
0,,,Brycon lundii,
0,,,Brycon moorei,
0,,,Hemigrammus caudovittatus,
0,,,Bryconamericus beta,
0,,,Serrasalmus brandti,
0,0,Q1161853,Schwarzband-Sägesalmler,5976821
0,,,Hasemania melanura,
0,,,Hemibrycon dentatus,
0,,,Holoshesthes pequira,
0,,,Moojenichthys myersi,
0,,,Odontostilbe gracilis,
0,,,Roeboides caucae,
0,,,Leporinus elongatus,
0,,,Eigenmannina melanopogon,
0,,,Citharinus gibbosus,
0,0,Q725113,Citharinus latus,7418773
0,,,Lebiasina astrigata,
0,,,Alestes lateralis,
0,,,Brachypetersius altus,
0,,,Bryconaethiops boulengeri,
0,,,Duboisialestes bifasciatus,
0,,,Nannopetersius ansorgii,
0,,,Cynodon gibbus,
0,,,Gymnorhamphichthys hypostomus,
