,ns,qwiki_id,title,wikipedia_id
0,,,Barbus aeneus,
0,,,Barbus marequensis,
0,,,Tribolodon taczanowskii,
0,,,Labeo sindensis,
0,,,Labeo darlingi,
0,,,Cyclocheilichthys dumerilii,
0,,,Rasbora elanga,
0,,,Carassioides cantonensis,
0,,,Eupallasella perenurus,
0,,,Gymnocypris biswasi,
0,,,Hemigrammocypris lini,
0,,,Lagowskiella czekanowskii,
0,,,Leucalburnus kosswigi,
0,,,Parazacco vuquangensis,
0,,,Parluciosoma labiosa,
0,,,Procypris merus,
0,,,Prolabeops melanhypoptera,
0,,,Pseudoperilampus hondae,
0,,,Rasborinus lineatus,
0,,,Sinilabeo decorus,
0,,,Squalidus biwae,
0,,,Systomus brevis,
0,,,Somileptes gongota,
0,,,Lepidocephalus annandalei,
0,,,Iksookimia choii,
0,,,Crossostoma lacustre,
0,,,Hemimyzon formosanum,
0,,,Physoschistura brunneanus,
0,,,Asprotilapia leptura,
0,,,Chromidotilapia batesii,
0,,,Cichlasoma maculicauda,
0,,,Heros appendiculatus,
0,,,Microdontochromis rotundiventralis,
0,,,Retroculus lapidifera,
0,,,Aequidens pulchrus,
0,,,Symphysodon aequifasciata,
0,,,Crenicara filamentosa,
0,,,Telotrematocara macrostoma,
0,,,Cynothrissa ansorgii,
0,,,Cynothrissa mento,
0,,,Poecilothrissa moeruensis,
0,,,Cromeria nilotica,
0,,,Hippopotamyrus discorhynchus,
0,,,Brycon erythropterum,
0,,,Serrasalmus brandti,
0,,,Holoshesthes pequira,
0,,,Moojenichthys myersi,
0,,,Roeboides caucae,
0,,,Eigenmannina melanopogon,
0,,,Lebiasina astrigata,
0,,,Alestes lateralis,
0,,,Brachypetersius altus,
0,,,Nannopetersius ansorgii,
0,,,Gymnorhamphichthys hypostomus,
0,,,Porotergus compsus,
0,,,Sternarchogiton cuchillejo,
0,,,Anduzedoras arleoi,
0,,,Apuredoras rivasi,
0,,,Deltadoras guayoensis,
0,,,Doras brevis,
0,,,Hildadoras bolivarensis,
0,,,Hoplodoras ramirezi,
0,,,Megalodoras irwini,
0,,,Nemadoras bachi,
0,,,Pseudodoras holdeni,
0,,,Sachsdoras apurensis,
0,,,Trachydoras atripes,
0,,,Zathorax gonzalezi,
0,,,Trachycorystes striatulus,
0,,,Tatia altae,
0,,,Parauchenipterus albicrux,
0,,,Tympanopleura alta,
0,,,Ageneiosus dentatus,
0,,,Ageneiosus madeirensis,
0,,,Ageneiosus melanopogon,
0,,,Ageneiosus parnaguensis,
0,,,Ageneiosus therezine,
0,,,Ageneiosus uruguayensis,
0,,,Aorichthys aor,
0,,,Parauchenoglanis akiri,
0,,,Parauchenoglanis guttatus,
0,,,Parauchenoglanis macrostoma,
0,,,Liauchenoglanis maculatus,
0,,,Leiocassis siamensis,
0,,,Coraglanis kishinouyei,
0,,,Euchiloglanis feae,
0,,,Nangra itchkeea,
0,,,Pseudecheneis sulcatus,
0,,,Pseudolaguvia tuberculatus,
0,,,Eutropiellus debauwi,
0,,,Dinotopterus atribranchus,
0,,,Brachyplatystoma vaillanti,
0,,,Myoglanis collettii,
0,,,Merodontotus tigrinus,
0,,,Sorubim latirostris,
0,,,Piramutana piramuta,
0,,,Platysilurus barbatus,
0,,,Paulicea jahu,
0,,,Megalonema argentina,
0,,,Pseudopimelodus albomarginatus,
0,,,Platystomatichthys mucosus,
0,,,Steindachneridion amblyurua,
0,,,Typhlobagrus kronei,
0,,,Branchioica bertonii,
0,,,Trichomycterus alternatum,
0,,,Eremophilus candidus,
0,,,Ituglanis amazonicum,
0,,,Plectrochilus erythrurus,
0,,,Megalechis personata,
0,,,Aphanotorulus frankei,
0,,,Cochliodon hondae,
