,ns,qwiki_id,title,wikipedia_id
0,,,Barbus aeneus,
0,,,Barbus marequensis,
0,,,Tribolodon taczanowskii,
0,,,Labeo dero,
0,,,Labeo sindensis,
0,,,Labeo darlingi,
0,0,Q3766577,异鲴,1027602
0,,,Chela laubuca,
0,,,Cyclocheilichthys dumerilii,
0,,,Osteochilus hasselti,
0,,,Rasbora elanga,
0,0,Q3766067,沙特似鮪雅羅魚,1750812
0,0,Q3766152,瓦氏似鮪雅羅魚,1750971
0,,,Tor soro,
0,0,Q6411699,大理裂腹魚,942606
0,,,Moroco steindachneri,
0,,,Leptobarbus hoeveni,
0,0,Q307727,德氏小髯魮,1781537
0,,,Carassioides cantonensis,
0,,,Eupallasella perenurus,
0,,,Gymnocypris biswasi,
0,,,Hemigrammocypris lini,
0,,,Lagowskiella czekanowskii,
0,,,Leucalburnus kosswigi,
0,,,Neobola moeruensis,
0,,,Parapsilorhynchus tentaculatus,
0,,,Parazacco vuquangensis,
0,,,Parluciosoma labiosa,
0,,,Platygobio gracilis,
0,,,Procypris merus,
0,,,Prolabeops melanhypoptera,
0,,,Pseudoperilampus hondae,
0,,,Rasborinus lineatus,
0,0,Q5578862,裂鯉,1762203
0,,,Sinilabeo decorus,
0,0,Q946974,倒刺鲃,1027778
0,0,Q1039941,中华倒刺鲃,1027781
0,,,Squalidus biwae,
0,,,Systomus brevis,
0,0,Q6424346,鳥喙蘆鯉,1751495
0,,,Xenocypris argentea,
0,,,Varicorhinus beso,
0,0,Q5728880,豚形擬長鰍,3820148
0,,,Cobitis aurata,
0,0,Q3761791,琵琶湖鰍,3821006
0,0,Q3755193,北方花鳅,1028233
0,,,Somileptes gongota,
0,0,Q789387,巴爾幹半島薩瓦納鰍,3827878
0,0,Q5703934,後鰭花鰍,3825867
0,,,Lepidocephalus annandalei,
0,0,Q2919943,大鱗泥鰍,3825806
0,,,Iksookimia choii,
0,,,Enobarbichthys maculatus,
0,,,Annamia normani,
0,,,Bhavania australis,
0,,,Crossostoma lacustre,
0,,,Ellopostoma megalomycter,
0,,,Glaniopsis denudata,
0,,,Hemimyzon formosanum,
0,,,Hypergastromyzon eubranchus,
0,,,Lefua echigonia,
0,,,Neogastromyzon nieuwenhuisii,
0,0,Q5858056,厚唇新条鳅,1028093
0,,,Orthrias panthera,
0,,,Physoschistura brunneanus,
0,,,Protomyzon aphelocheilus,
0,,,Sectoria atriceps,
0,,,Sewellia lineolata,
0,,,Travancoria jonesi,
0,,,Tuberoschistura cambodgiensis,
0,,,Vaillantella cinnamomea,
0,0,Q168619,尼加拉瓜湖始麗魚,3183136
0,,,Asprotilapia leptura,
0,0,Q128145,強蓋生麗魚,3180043
0,0,Q2909362,科氏布瓊麗魚,3258535
0,0,Q5529919,巴拉圭擬鬃鰓魚,3516425
0,0,Q4746104,巴西鬃鰓魚,3516452
0,,,Chromidotilapia batesii,
0,0,Q928258,剛果河圓咽麗魚,3323019
0,0,Q128372,斑點雙纓麗魚,3180082
0,,,Oreochromis spilurus,
0,0,Q1826801,安哥拉口孵非鯽,3232085
0,0,Q1956427,美麗口孵非鯽,3233093
0,,,Oreochromis malagarasi,
0,0,Q3643518,柔口孵非鯽,3234414
0,0,Q6412479,沙莉口孵非鯽,3239920
0,0,Q5599573,施氏口孵非鯽,3240095
0,,,Oreochromis shiranus,
0,0,Q6412688,厄佩口孵非鯽,3243944
0,0,Q169554,比氏麗體魚,3183840
0,,,Cichlasoma facetum,
0,0,Q181453,磯麗體魚,3184303
0,,,Cichlasoma maculicauda,
0,,,Cichlasoma nigrofasciatum,
0,0,Q6425749,青麗體魚,1097649
0,0,Q2647805,幾內亞非鯽,3250739
0,0,Q2648285,雙線非鯽,3250265
