,ns,qwiki_id,title,wikipedia_id
0,0,Q597582,Eupsophus calcaratus,12388466
0,0,Q2236835,Victoria night frog,12357869
0,0,Q577651,Mountain night frog,12357884
0,0,Q1941950,Leptodactylodon bicolor,12357923
0,0,Q1943959,Leptopelis argenteus,12382546
0,0,Q2241201,Bocage's tree frog,12382563
0,0,Q2208491,Common forest tree frog,12382668
0,0,Q1525786,Leptopelis vermiculatus,5415403
0,0,Q1028620,Hairy frog,12357990
0,0,Q977377,Barbourula busuangensis,12358037
0,0,Q369695,Bornean flat-headed frog,12358044
0,0,Q372267,European fire-bellied toad,2299450
0,0,Q1061702,Oriental fire-bellied toad,4974977
0,0,Q606431,Yellow-bellied toad,4071661
0,0,Q1941638,Malcolm's Ethiopian toad,12358087
0,0,Q2212746,Osgood's Ethiopian toad,12359729
0,0,Q2191167,Western toad,3450702
0,0,Q28030930,Great Plains toad,5147228
0,0,Q28032124,Sonoran green toad,12359174
0,0,Q2236704,Venezuelan yellow frog,12358206
0,0,Q2056602,Atelopus cruciger,12358229
0,0,Q2237359,Cayenne stubfoot toad,12358262
0,0,Q2246756,Atelopus franciscus,12358270
0,0,Q2129962,Atelopus peruensis,12358365
0,0,Q2237306,Atelopus pulcher,12358388
0,0,Q2480020,Atelopus senex,12358410
0,0,Q2236685,Atelopus siranus,12358419
0,0,Q2236441,Atelopus spurrelli,12358435
0,0,Q310885,Atelopus varius,11363008
0,0,Q2048914,Panamanian golden frog,10074847
0,0,Q1205117,Asiatic toad,11632502
0,0,Q707153,Bufo bankorensis,12358554
0,0,Q146375,Common toad,969943
0,0,Q1205117,Asiatic toad,11632502
0,0,Q1205117,Asiatic toad,11632502
0,0,Q1205117,Asiatic toad,11632502
0,0,Q1205117,Asiatic toad,11632502
0,0,Q1205117,Asiatic toad,11632502
0,0,Q2706221,Duttaphrynus himalayanus,7769946
0,0,Q28031739,Duttaphrynus melanostictus,3666650
0,0,Q1689240,Sulawesian toad,12358647
0,0,Q598095,Bleeding toad,4904467
0,0,Q3304922,Melanophryniscus admirabilis,28268486
0,0,Q1941834,Melanophryniscus atroluteus,12359428
0,0,Q1941801,Melanophryniscus cambaraensis,12359432
0,0,Q1942422,Melanophryniscus fulvoguttatus,12359449
0,0,Q1942307,Melanophryniscus klappenbachi,12359453
0,0,Q2710906,Melanophryniscus stelzneri,45290042
0,0,Q2213767,Melanophryniscus tumifrons,12359490
0,0,Q2212885,Nannophryne cophotis,12358676
