,ns,qwiki_id,title,wikipedia_id,manual_search
0,0,Q1027518,Calumma hilleniusi,6345746,
0,0,Q1085327,Calao à casque plat,3553883,
0,0,Q11788427,Liolaemus signifer,7001736,
0,0,Q11797183,Liolaemus chlorostictus,6986059,
0,0,Q1206327,Mico chrysoleucos,2770243,
0,0,Q12433008,Pyxicephalus angusticeps,7287762,
0,0,Q14542083,Leiolepis rubritaeniata,7320450,
0,0,Q15111455,Silverstoneia minima,7495050,
0,0,Q15111548,Silverstoneia punctiventris,7495077,
0,0,Q15300596,Ovophis convictus,7599926,
0,0,Q1567030,Simalia oenpelliensis,5813765,
0,0,Q17898973,Rhampholeon tilburyi,8282011,
0,0,Q17899009,Rhampholeon nebulauctor,8282016,
0,0,Q17899038,Rhampholeon maspictus,8282018,
0,0,Q18011531,Ovophis makazayazaya,8296640,
0,0,Q18601085,Varanus dalubhasa,8540927,
0,0,Q18601086,Varanus bangonorum,8540942,
0,0,Q18601092,Tropidophis curtus,8541055,
0,0,Q18601099,Tropidophis galacelidus,5842904,
0,0,Q18601100,Tropidophis hardyi,5842886,
0,0,Q18601148,Tropidophis jamaicensis,8541141,
0,0,Q18601172,Tropidophis stullae,7795129,
0,0,Q18601173,Tropidophis stejnegeri,7795134,
0,0,Q18601221,Tropidophis parkeri,5843195,
0,0,Q18601224,Tropidophis schwartzi,5843196,
0,0,Q18603895,Smaug barbertonensis,8547900,
0,0,Q1997560,Uromastyx acanthinura,3134608,
0,0,Q21011801,Tylototriton podichthys,9419573,
0,0,Q2167861,Varanus semiremex,6247933,
0,0,Q2397307,Oophaga arborea,3008005,
0,0,Q24008127,Trioceros goetzei,6389560,
0,0,Q2404449,Candoia paulsoni,5639124,
0,0,Q2420762,Calumma vohibola,6345550,
0,0,Q25382468,Xenopus fischbergi,9676899,
0,0,Q25382604,Theloderma vietnamense,9684640,
0,0,Q25391251,Cercocebus lunulatus,10116988,
0,0,Q2624437,Uromastyx macfadyeni,6311102,
0,0,Q2706305,Agalychnis medinae,3049274,
0,0,Q28005080,Iranodon gorganensis,5108757,
0,0,Q28016801,Andinobates daleswansoni,4532906,
0,0,Q28021355,Cynops orientalis,5072367,
0,0,Q28026042,Liangshantriton taliangensis,5089743,
0,0,Q28042641,Iranodon persicus,927299,
0,0,Q28053235,Oophaga occultator,3007952,
